Batch,Sample Type,Inject Order,Sample Name,File Name,Bio Group
B2,QC,180,QC2-1,P0014_6600_0301_POS_QC2-1_50-2uL_C18-25.5min_R11,Invalid
B2,Sample,181,B2-029,P0014_6600_0301_POS_B2-029_50-2uL_C18-25.5min_R12,SG-1
B2,Sample,182,B2-034,P0014_6600_0301_POS_B2-034_50-2uL_C18-25.5min_R13,SG-1
B2,Sample,183,B2-087,P0014_6600_0301_POS_B2-087_50-2uL_C18-25.5min_R14,SG-0
B2,Sample,184,B2-098,P0014_6600_0301_POS_B2-098_50-2uL_C18-25.5min_R15,SG-2
B2,Sample,185,B2-106,P0014_6600_0301_POS_B2-106_50-2uL_C18-25.5min_R16,SG-0
B2,Sample,186,B2-108,P0014_6600_0301_POS_B2-108_50-2uL_C18-25.5min_R17,SG-0
B2,Sample,187,B2-127,P0014_6600_0301_POS_B2-127_50-2uL_C18-25.5min_R18,SG-0
B2,Sample,188,B2-150,P0014_6600_0301_POS_B2-150_50-2uL_C18-25.5min_R19,SG-0
B2,Sample,189,B2-154,P0014_6600_0301_POS_B2-154_50-2uL_C18-25.5min_R20,SG-0
B2,Sample,190,B2-155,P0014_6600_0301_POS_B2-155_50-2uL_C18-25.5min_R21,SG-2
B2,QC,191,QC2-2,P0014_6600_0301_POS_QC2-2_50-2uL_C18-25.5min_R22,Invalid
B2,Sample,193,B2-156,P0014_6600_0301_POS_B2-156_50-2uL_C18-25.5min_R24,SG-0
B2,Sample,194,B2-165,P0014_6600_0301_POS_B2-165_50-2uL_C18-25.5min_R25,SG-0
B2,Sample,195,B2-169,P0014_6600_0301_POS_B2-169_50-2uL_C18-25.5min_R26,SG-0
B2,Sample,196,B2-173,P0014_6600_0301_POS_B2-173_50-2uL_C18-25.5min_R27,SG-1
B2,Sample,197,B2-175,P0014_6600_0301_POS_B2-175_50-2uL_C18-25.5min_R28,SG-2
B2,Sample,198,B2-186,P0014_6600_0301_POS_B2-186_50-2uL_C18-25.5min_R29,SG-0
B2,Sample,199,B2-187,P0014_6600_0301_POS_B2-187_50-2uL_C18-25.5min_R30,SG-1
